date,portfolio_value,daily_pnl,zscore_SLB_HAL,position_SLB_HAL,hedgert_SLB_HAL,value_SLB_HAL,zscore_PSX_VLO,position_PSX_VLO,hedgert_PSX_VLO,value_PSX_VLO,zscore_XOM_CVX,position_XOM_CVX,hedgert_XOM_CVX,value_XOM_CVX
2025-05-12,98951.69,0.0,0.475031,flat,0.856066,32567.44,-1.291518,flat,1.28751,33050.92,0.65451,flat,0.495455,33333.33
2025-05-13,98951.69,0.0,0.591884,flat,0.855052,32567.44,-0.92912,flat,1.283497,33050.92,0.63606,flat,0.49533,33333.33
2025-05-14,98951.69,0.0,0.588554,flat,0.853797,32567.44,-0.908778,flat,1.283559,33050.92,0.450683,flat,0.49476,33333.33
2025-05-15,98951.69,0.0,0.562747,flat,0.855184,32567.44,-1.159779,flat,1.278269,33050.92,0.407749,flat,0.495438,33333.33
2025-05-16,98951.69,0.0,0.358284,flat,0.857972,32567.44,-1.023956,flat,1.276166,33050.92,0.320564,flat,0.495307,33333.33
2025-05-19,98951.69,0.0,0.264764,flat,0.859884,32567.44,-1.421892,flat,1.26506,33050.92,0.227128,flat,0.495812,33333.33
2025-05-20,98951.69,0.0,0.285313,flat,0.867753,32567.44,-1.120628,flat,1.261582,33050.92,-0.03007,flat,0.498292,33333.33
2025-05-21,98935.02,0.0,0.404947,flat,0.873052,32567.44,-2.130833,long_spread,1.255654,33034.25,-0.182475,flat,0.503547,33333.33
2025-05-22,98993.44,58.41,0.235485,flat,0.879679,32567.44,-2.020244,long_spread,1.243676,33092.67,-0.319148,flat,0.509471,33333.33
2025-05-23,99037.26,43.82,0.226756,flat,0.887227,32567.44,-1.859922,long_spread,1.229405,33136.49,-0.413577,flat,0.516241,33333.33
2025-05-27,98934.61,-102.65,0.371633,flat,0.892899,32567.44,-2.05151,long_spread,1.208395,33033.84,-0.406665,flat,0.522438,33333.33
2025-05-28,99186.89,252.28,0.217652,flat,0.897139,32567.44,-1.358828,long_spread,1.199122,33286.12,-0.570032,flat,0.530717,33333.33
2025-05-29,99176.38,-10.51,0.024728,flat,0.89943,32567.44,-1.425852,long_spread,1.189379,33275.61,-0.605121,flat,0.537602,33333.33
2025-05-30,99026.76,-149.62,0.112946,flat,0.900045,32567.44,-1.615659,long_spread,1.18351,33125.99,-0.577607,flat,0.545674,33333.33
2025-06-02,99229.57,202.81,-0.168087,flat,0.902981,32567.44,-1.171092,long_spread,1.17538,33328.8,-0.501902,flat,0.552982,33333.33
2025-06-03,99131.81,-97.76,-0.053767,flat,0.901178,32567.44,-1.360578,long_spread,1.1614,33231.04,-0.487901,flat,0.561635,33333.33
2025-06-04,99191.34,59.53,-0.244008,flat,0.900752,32567.44,-1.02612,long_spread,1.152544,33290.57,-0.621045,flat,0.568194,33333.33
2025-06-05,99109.62,-81.72,-0.293045,flat,0.904693,32567.44,-1.11502,long_spread,1.14918,33208.85,-0.676893,flat,0.57649,33333.33
2025-06-06,99222.02,112.4,-0.339011,flat,0.909106,32567.44,-0.90637,long_spread,1.142136,33321.25,-0.42011,flat,0.5809,33333.33
2025-06-09,99497.56,275.54,-0.704965,flat,0.911087,32567.44,-0.376792,long_spread,1.137151,33596.79,-0.309829,flat,0.58668,33333.33
2025-06-10,99393.08,-104.47,-0.469356,flat,0.910957,32567.44,-0.600438,long_spread,1.124973,33492.31,-0.043535,flat,0.589747,33333.33
2025-06-11,99440.15,47.06,-0.824472,flat,0.908183,32567.44,-0.503299,long_spread,1.109891,33539.38,0.296402,flat,0.59076,33333.33
2025-06-12,99589.23,149.08,-0.618073,flat,0.905644,32567.44,-0.166177,long_spread,1.097801,33688.46,0.362655,flat,0.595314,33333.33
2025-06-13,99599.59,10.36,-1.399336,flat,0.895905,32567.44,-0.103376,long_spread,1.085839,33698.82,0.797832,flat,0.601266,33333.33
2025-06-16,99343.78,-255.81,-1.344727,flat,0.883417,32567.44,-0.526511,long_spread,1.070178,33443.01,0.845391,flat,0.608222,33333.33
2025-06-17,98981.48,-362.3,-1.260722,flat,0.86873,32567.44,-1.083141,long_spread,1.049178,33080.71,0.856324,flat,0.621148,33333.33
2025-06-18,99292.85,311.36,-0.641127,flat,0.862582,32567.44,-0.418287,long_spread,1.035917,33392.08,0.710946,flat,0.634659,33333.33
2025-06-20,99086.31,-206.54,-0.610957,flat,0.848628,32567.44,-0.696883,long_spread,1.020647,33185.54,0.858386,flat,0.652268,33333.33
2025-06-23,99062.74,-23.57,-0.627422,flat,0.833836,32567.44,-0.650925,long_spread,1.007451,33161.97,0.465005,flat,0.665392,33333.33
2025-06-24,98994.03,-68.71,-0.80758,flat,0.812962,32567.44,-0.709496,long_spread,0.995851,33093.26,0.049157,flat,0.677174,33333.33
2025-06-25,99033.41,39.38,-0.504006,flat,0.785357,32567.44,-0.593187,long_spread,0.987701,33132.64,0.081789,flat,0.692421,33333.33
2025-06-26,98955.61,-77.8,-0.361919,flat,0.752569,32567.44,-0.663869,long_spread,0.97682,33054.84,0.291221,flat,0.711129,33333.33
2025-06-27,99104.2,148.58,-0.143911,flat,0.694887,32567.44,-0.362561,long_spread,0.968412,33203.43,0.192681,flat,0.752827,33333.33
2025-06-30,99144.44,40.24,-0.163105,flat,0.598503,32567.44,-0.25271,long_spread,0.960854,33243.67,-0.14262,flat,0.812325,33333.33
